"Name","Version","License"
"adler2","2.0.1","0BSD OR MIT OR Apache-2.0"
"aho-corasick","1.1.4","Unlicense OR MIT"
"aligned","0.4.3","MIT OR Apache-2.0"
"aligned-vec","0.6.4","MIT"
"alloc-no-stdlib","2.0.4","BSD-3-Clause"
"alloc-stdlib","0.2.4","BSD-3-Clause"
"android_system_properties","0.1.5","MIT/Apache-2.0"
"anyhow","1.0.104","MIT OR Apache-2.0"
"arbitrary","1.4.2","MIT OR Apache-2.0"
"arg_enum_proc_macro","0.3.4","MIT"
"arrayref","0.3.9","BSD-2-Clause"
"arrayvec","0.7.8","MIT OR Apache-2.0"
"as-slice","0.2.1","MIT OR Apache-2.0"
"async-broadcast","0.7.2","MIT OR Apache-2.0"
"async-channel","2.5.0","Apache-2.0 OR MIT"
"async-executor","1.14.0","Apache-2.0 OR MIT"
"async-io","2.6.0","Apache-2.0 OR MIT"
"async-lock","3.4.2","Apache-2.0 OR MIT"
"async-process","2.5.0","Apache-2.0 OR MIT"
"async-recursion","1.1.1","MIT OR Apache-2.0"
"async-signal","0.2.14","Apache-2.0 OR MIT"
"async-task","4.7.1","Apache-2.0 OR MIT"
"async-trait","0.1.91","MIT OR Apache-2.0"
"atk","0.18.2","MIT"
"atk-sys","0.18.2","MIT"
"atomic-waker","1.1.2","Apache-2.0 OR MIT"
"autocfg","1.5.1","Apache-2.0 OR MIT"
"av1-grain","0.2.5","BSD-2-Clause"
"avif-serialize","0.8.9","BSD-3-Clause"
"av-scenechange","0.14.1","MIT"
"baobox","0.1.0","NOT-CACHED"
"base64","0.22.1","MIT OR Apache-2.0"
"base64","0.21.7","MIT OR Apache-2.0"
"bit_field","0.10.3","Apache-2.0/MIT"
"bitflags","2.13.1","MIT OR Apache-2.0"
"bitflags","1.3.2","MIT/Apache-2.0"
"bit-set","0.8.0","Apache-2.0 OR MIT"
"bitstream-io","4.10.0","MIT/Apache-2.0"
"bitvec","1.1.1","MIT"
"bit-vec","0.8.0","Apache-2.0 OR MIT"
"blake3","1.8.5","CC0-1.0 OR Apache-2.0 OR Apache-2.0 WITH LLVM-exception"
"block2","0.6.2","MIT"
"block-buffer","0.10.4","MIT OR Apache-2.0"
"blocking","1.6.2","Apache-2.0 OR MIT"
"brotli","8.0.4","BSD-3-Clause AND MIT"
"brotli-decompressor","5.0.3","BSD-3-Clause/MIT"
"bs58","0.5.1","MIT/Apache-2.0"
"built","0.8.1","MIT"
"bumpalo","3.20.3","MIT OR Apache-2.0"
"bytemuck","1.25.2","Zlib OR Apache-2.0 OR MIT"
"bytemuck_derive","1.11.0","Zlib OR Apache-2.0 OR MIT"
"byteorder","1.5.0","Unlicense OR MIT"
"byteorder-lite","0.1.0","Unlicense OR MIT"
"bytes","1.12.1","MIT"
"cairo-rs","0.18.5","MIT"
"cairo-sys-rs","0.18.2","MIT"
"camino","1.2.5","MIT OR Apache-2.0"
"cargo_metadata","0.19.2","MIT"
"cargo_toml","0.22.3","Apache-2.0 OR MIT"
"cargo-platform","0.1.9","MIT OR Apache-2.0"
"cc","1.4.0","MIT OR Apache-2.0"
"cesu8","1.1.0","Apache-2.0/MIT"
"cfb","0.7.3","MIT"
"cfg-expr","0.15.8","MIT OR Apache-2.0"
"cfg-if","1.0.4","MIT OR Apache-2.0"
"chrono","0.4.45","MIT OR Apache-2.0"
"color_quant","1.1.0","MIT"
"combine","4.6.7","MIT"
"concurrent-queue","2.5.0","Apache-2.0 OR MIT"
"constant_time_eq","0.4.2","CC0-1.0 OR MIT-0 OR Apache-2.0"
"cookie","0.18.1","MIT OR Apache-2.0"
"core-foundation","0.10.1","MIT OR Apache-2.0"
"core-foundation-sys","0.8.7","MIT OR Apache-2.0"
"core-graphics","0.25.0","MIT OR Apache-2.0"
"core-graphics-types","0.2.0","MIT OR Apache-2.0"
"cpufeatures","0.3.0","MIT OR Apache-2.0"
"cpufeatures","0.2.17","MIT OR Apache-2.0"
"crc32fast","1.5.0","MIT OR Apache-2.0"
"crossbeam","0.8.4","MIT OR Apache-2.0"
"crossbeam-channel","0.5.16","MIT OR Apache-2.0"
"crossbeam-deque","0.8.7","MIT OR Apache-2.0"
"crossbeam-epoch","0.9.20","MIT OR Apache-2.0"
"crossbeam-queue","0.3.13","MIT OR Apache-2.0"
"crossbeam-utils","0.8.22","MIT OR Apache-2.0"
"crunchy","0.2.4","MIT"
"crypto-common","0.1.7","MIT OR Apache-2.0"
